Incident Id,Date of Arrest,Time of Arrest,Primary Charge,Arrestee's Age,Arrestee's Race,Arrestee's Gender,Type of Arrest,Drugs or Alcohol Present,Weapon Present
24078,2010-01-01,4:30,OTHER,18.0,W,M,SUMMONED/CITED,Y,UNARMED
24080,2010-01-01,7:52,FAIL TO APPEAR,18.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24082,2010-01-01,15:42,OTHER,27.0,W,M,ON VIEW,U,UNARMED
24083,2010-01-01,16:13,OTHER,48.0,A,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
24092,2010-01-05,17:21,OTHER,55.0,W,M,SUMMONED/CITED,Y,UNARMED
24093,2010-01-06,3:27,DRUGS,23.0,W,M,ON VIEW,Y,UNARMED
24099,2010-01-09,1:19,OTHER,21.0,W,F,SUMMONED/CITED,Y,UNARMED
24098,2010-01-09,2:06,OTHER,20.0,B,M,ON VIEW,Y,UNARMED
24106,2010-01-09,19:51,OTHER,29.0,B,F,ON VIEW,N,UNARMED
24103,2010-01-09,21:30,ALCOHOL,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24112,2010-01-11,2:00,DWI,27.0,W,F,ON VIEW,Y,UNARMED
24126,2010-01-13,12:52,ASSAULT,60.0,B,M,ON VIEW,Y,UNARMED
24133,2010-01-15,4:06,DWI,21.0,W,F,ON VIEW,Y,UNARMED
24138,2010-01-15,15:33,OTHER,37.0,W,M,ON VIEW,Y,UNARMED
24152,2010-01-19,20:39,ASSAULT,69.0,W,F,ON VIEW,Y,UNARMED
24159,2010-01-21,20:50,FAIL TO APPEAR,51.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24162,2010-01-21,21:25,OTHER,39.0,B,M,SUMMONED/CITED,N,UNARMED
24175,2010-01-27,19:52,FAIL TO APPEAR,20.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24187,2010-02-02,13:16,DRUGS,32.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
24189,2010-02-02,19:43,OTHER,31.0,B,M,ON VIEW,U,UNARMED
24190,2010-02-03,2:18,ALCOHOL,19.0,W,M,SUMMONED/CITED,Y,UNARMED
24194,2010-02-03,15:49,FAIL TO APPEAR,54.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
24196,2010-02-03,20:37,DRUGS,45.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
24198,2010-02-04,1:45,DWI,25.0,W,M,ON VIEW,Y,UNARMED
24199,2010-02-04,5:49,DWI,23.0,W,M,ON VIEW,Y,UNARMED
24216,2010-02-07,14:53,DRUGS,24.0,W,M,SUMMONED/CITED,Y,UNARMED
24213,2010-02-07,17:16,LARCENY,25.0,W,M,ON VIEW,U,UNARMED
24214,2010-02-07,19:39,DRUGS,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24223,2010-02-09,6:43,OTHER,31.0,B,F,SUMMONED/CITED,N,UNARMED
24237,2010-02-13,4:47,DWI,25.0,B,M,ON VIEW,Y,UNARMED
24244,2010-02-14,14:51,FAIL TO APPEAR,35.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
24245,2010-02-14,17:39,ASSAULT,28.0,B,M,ON VIEW,Y,UNARMED
24248,2010-02-15,9:07,OTHER,32.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24252,2010-02-16,10:00,TRESPASSING,50.0,B,M,SUMMONED/CITED,Y,UNARMED
24265,2010-02-18,22:00,OTHER,60.0,B,M,ON VIEW,Y,UNARMED
24266,2010-02-18,22:00,OTHER,33.0,B,M,ON VIEW,U,UNARMED
24274,2010-02-20,2:16,DWI,30.0,W,M,ON VIEW,Y,UNARMED
24289,2010-02-25,19:35,OTHER,44.0,B,M,ON VIEW,Y,UNARMED
24347,2010-03-04,21:29,ALCOHOL,23.0,W,M,SUMMONED/CITED,Y,UNARMED
24328,2010-03-05,23:38,OTHER,25.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24330,2010-03-06,2:31,ALCOHOL,27.0,W,M,SUMMONED/CITED,Y,UNARMED
24337,2010-03-07,0:03,ALCOHOL,29.0,W,M,SUMMONED/CITED,N,UNARMED
24342,2010-03-07,14:42,TRESPASSING,21.0,B,M,ON VIEW,N,UNARMED
24350,2010-03-08,8:40,FAIL TO APPEAR,40.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24383,2010-03-15,18:48,FAIL TO APPEAR,49.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
